N;DENSITY;SEED;EMBEDGREEDY_HOSTS;EMBEDBALANCED_HOSTS;EMBEDPARTITION_HOSTS;METIS_HOSTS;METIS_HOST_CPU_OVERCOMMITMENT;METIS_HOST_MEMORY_OVERCOMMITMENT;METIS_HOST_LINK_OVERCOMMITMENT;METIS_MAX_CPU_OVERCOMMITMENT;METIS_MAX_MEMORY_OVERCOMMITMENT;METIS_MAX_LINK_OVERCOMMITMENT;RANDOM_HOSTS;RANDOM_HOST_CPU_OVERCOMMITMENT;RANDOM_HOST_MEMORY_OVERCOMMITMENT;RANDOM_HOST_LINK_OVERCOMMITMENT;RANDOM_MAX_CPU_OVERCOMMITMENT;RANDOM_MAX_MEMORY_OVERCOMMITMENT;RANDOM_MAX_LINK_OVERCOMMITMENT;ROUNDROBIN_HOSTS;ROUNDROBIN_HOST_CPU_OVERCOMMITMENT;ROUNDROBIN_HOST_MEMORY_OVERCOMMITMENT;ROUNDROBIN_HOST_LINK_OVERCOMMITMENT;ROUNDROBIN_MAX_CPU_OVERCOMMITMENT;ROUNDROBIN_MAX_MEMORY_OVERCOMMITMENT;ROUNDROBIN_MAX_LINK_OVERCOMMITMENT;SWITCHBIN_HOSTS;SWITCHBIN_HOST_CPU_OVERCOMMITMENT;SWITCHBIN_HOST_MEMORY_OVERCOMMITMENT;SWITCHBIN_HOST_LINK_OVERCOMMITMENT;SWITCHBIN_MAX_CPU_OVERCOMMITMENT;SWITCHBIN_MAX_MEMORY_OVERCOMMITMENT;SWITCHBIN_MAX_LINK_OVERCOMMITMENT
10;0,1;0;4;-1;-1;4;1;0;0;15,625;0;0;4;2;0;0;37,5;0;0;4;0;0;0;0;0;0;4;1;0;0;43,75;0;0
10;0,2;0;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0
10;0,3;0;3;-1;-1;3;1;0;0;18,75;0;0;3;2;0;0;46,875;0;0;3;1;0;0;12,5;0;0;3;1;0;0;31,25;0;0
10;0,4;0;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;28,125;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,5;0;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;34,375;0;0;4;1;0;0;6,25;0;0;4;1;0;0;9,375;0;0
10;0,1;1;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;6,25;0;0;3;1;0;0;9,375;0;0;3;1;0;0;75;0;0
10;0,2;1;4;-1;-1;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0;4;1;0;0;28,125;0;0
10;0,3;1;3;-1;-1;3;1;0;0;3,125;0;0;3;1;0;0;6,25;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,4;1;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;59,375;0;0;3;1;0;0;15,625;0;0;3;1;0;0;25;0;0
10;0,5;1;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;37,5;0;0;3;1;0;0;6,25;0;0;3;1;0;0;21,875;0;0
10;0,1;2;3;-1;-1;3;1;0;0;6,25;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;15,625;0;0
10;0,2;2;2;-1;-1;2;0;0;0;0;0;0;2;1;0;0;34,375;0;0;2;1;0;0;12,5;0;0;2;1;0;0;53,125;0;0
10;0,3;2;4;-1;-1;4;1;0;0;28,125;0;0;4;1;0;0;25;0;0;4;1;0;0;6,25;0;0;4;1;0;0;65,625;0;0
10;0,4;2;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;21,875;0;0;3;1;0;0;6,25;0;0;3;0;0;0;0;0;0
10;0,5;2;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;34,375;0;0
10;0,1;3;4;-1;-1;4;0;0;0;0;0;0;4;2;0;0;28,125;0;0;4;0;0;0;0;0;0;4;1;0;0;46,875;0;0
10;0,2;3;4;-1;-1;4;1;0;0;15,625;0;0;4;1;0;0;18,75;0;0;4;0;0;0;0;0;0;4;1;0;0;6,25;0;0
10;0,3;3;3;-1;-1;3;1;0;0;40,625;0;0;3;2;0;0;12,5;0;0;3;1;0;0;9,375;0;0;3;2;0;0;25;0;0
10;0,4;3;3;-1;-1;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0;3;2;0;0;9,375;0;0
10;0,5;3;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;28,125;0;0;3;1;0;0;3,125;0;0;3;1;0;0;25;0;0
10;0,1;4;4;-1;-1;4;1;0;0;15,625;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0
10;0,2;4;3;-1;-1;3;1;0;0;40,625;0;0;3;1;0;0;18,75;0;0;3;1;0;0;25;0;0;3;1;0;0;50;0;0
10;0,3;4;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;12,5;0;0;3;1;0;0;18,75;0;0;3;1;0;0;3,125;0;0
10;0,4;4;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,5;4;4;-1;-1;4;1;0;0;34,375;0;0;4;1;0;0;43,75;0;0;4;0;0;0;0;0;0;4;2;0;0;9,375;0;0
10;0,1;5;4;-1;-1;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0
10;0,2;5;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;28,125;0;0;3;1;0;0;3,125;0;0;3;1;0;0;46,875;0;0
10;0,3;5;3;-1;-1;3;1;0;0;31,25;0;0;3;1;0;0;62,5;0;0;3;1;0;0;18,75;0;0;3;1;0;0;28,125;0;0
10;0,4;5;4;-1;-1;4;1;0;0;6,25;0;0;4;1;0;0;43,75;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0
10;0,5;5;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,1;6;3;-1;-1;3;1;0;0;40,625;0;0;3;1;0;0;31,25;0;0;3;1;0;0;6,25;0;0;3;2;0;0;21,875;0;0
10;0,2;6;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;50;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0
10;0,3;6;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;18,75;0;0;3;2;0;0;15,625;0;0;3;2;0;0;18,75;0;0
10;0,4;6;4;-1;-1;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0
10;0,5;6;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;15,625;0;0;3;0;0;0;0;0;0;3;1;0;0;40,625;0;0
10;0,1;7;4;-1;-1;4;1;0;0;21,875;0;0;4;1;0;0;40,625;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,2;7;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;21,875;0;0;3;1;0;0;3,125;0;0;3;2;0;0;9,375;0;0
10;0,3;7;4;-1;-1;4;1;0;0;15,625;0;0;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,4;7;3;-1;-1;3;1;0;0;31,25;0;0;3;1;0;0;12,5;0;0;3;1;0;0;6,25;0;0;3;1;0;0;37,5;0;0
10;0,5;7;2;-1;-1;2;1;0;0;15,625;0;0;2;1;0;0;6,25;0;0;2;1;0;0;3,125;0;0;2;1;0;0;43,75;0;0
10;0,1;8;3;-1;-1;3;1;0;0;15,625;0;0;3;1;0;0;25;0;0;3;1;0;0;21,875;0;0;3;1;0;0;25;0;0
10;0,2;8;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;65,625;0;0;3;2;0;0;9,375;0;0;3;2;0;0;12,5;0;0
10;0,3;8;3;-1;-1;3;1;0;0;34,375;0;0;3;1;0;0;3,125;0;0;3;1;0;0;3,125;0;0;3;1;0;0;25;0;0
10;0,4;8;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0;3;1;0;0;12,5;0;0;3;0;0;0;0;0;0
10;0,5;8;3;-1;-1;3;1;0;0;6,25;0;0;3;0;0;0;0;0;0;3;1;0;0;6,25;0;0;3;1;0;0;53,125;0;0
10;0,1;9;4;-1;-1;4;2;0;0;6,25;0;0;4;1;0;0;34,375;0;0;4;0;0;0;0;0;0;4;1;0;0;62,5;0;0
10;0,2;9;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;25;0;0;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0
10;0,3;9;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;15,625;0;0;3;1;0;0;9,375;0;0;3;2;0;0;21,875;0;0
10;0,4;9;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;37,5;0;0
10;0,5;9;3;-1;-1;3;1;0;0;9,375;0;0;3;0;0;0;0;0;0;3;1;0;0;40,625;0;0;3;1;0;0;9,375;0;0
10;0,1;10;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;40,625;0;0
10;0,2;10;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0
10;0,3;10;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;9,375;0;0;3;1;0;0;9,375;0;0;3;1;0;0;46,875;0;0
10;0,4;10;3;-1;-1;3;1;0;0;56,25;0;0;3;1;0;0;50;0;0;3;1;0;0;15,625;0;0;3;1;0;0;65,625;0;0
10;0,5;10;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0;4;0;0;0;0;0;0;4;2;0;0;21,875;0;0
10;0,1;11;3;-1;-1;3;1;0;0;28,125;0;0;3;1;0;0;50;0;0;3;1;0;0;3,125;0;0;3;1;0;0;37,5;0;0
10;0,2;11;3;-1;-1;3;1;0;0;28,125;0;0;3;1;0;0;31,25;0;0;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0
10;0,3;11;4;-1;-1;4;1;0;0;18,75;0;0;4;2;0;0;40,625;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,4;11;3;-1;-1;3;1;0;0;46,875;0;0;3;1;0;0;15,625;0;0;3;1;0;0;3,125;0;0;3;1;0;0;34,375;0;0
10;0,5;11;4;-1;-1;4;1;0;0;18,75;0;0;4;1;0;0;28,125;0;0;4;0;0;0;0;0;0;4;1;0;0;50;0;0
10;0,1;12;3;-1;-1;3;1;0;0;25;0;0;3;1;0;0;40,625;0;0;3;1;0;0;9,375;0;0;3;1;0;0;21,875;0;0
10;0,2;12;3;-1;-1;3;2;0;0;21,875;0;0;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0;3;1;0;0;40,625;0;0
10;0,3;12;3;-1;-1;3;1;0;0;3,125;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,4;12;4;-1;-1;4;1;0;0;3,125;0;0;4;1;0;0;21,875;0;0;4;0;0;0;0;0;0;4;1;0;0;21,875;0;0
10;0,5;12;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;21,875;0;0
10;0,1;13;3;-1;-1;3;1;0;0;28,125;0;0;3;1;0;0;31,25;0;0;3;1;0;0;9,375;0;0;3;1;0;0;37,5;0;0
10;0,2;13;4;-1;-1;4;1;0;0;37,5;0;0;4;1;0;0;21,875;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,3;13;3;-1;-1;3;2;0;0;12,5;0;0;3;1;0;0;46,875;0;0;3;1;0;0;9,375;0;0;3;2;0;0;21,875;0;0
10;0,4;13;4;-1;-1;4;1;0;0;6,25;0;0;4;2;0;0;15,625;0;0;4;1;0;0;6,25;0;0;4;2;0;0;15,625;0;0
10;0,5;13;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;59,375;0;0;4;1;0;0;3,125;0;0;4;2;0;0;15,625;0;0
10;0,1;14;3;-1;-1;3;1;0;0;18,75;0;0;3;1;0;0;28,125;0;0;3;1;0;0;21,875;0;0;3;1;0;0;71,875;0;0
10;0,2;14;3;-1;-1;3;1;0;0;9,375;0;0;3;0;0;0;0;0;0;3;1;0;0;21,875;0;0;3;1;0;0;15,625;0;0
10;0,3;14;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;6,25;0;0;3;1;0;0;6,25;0;0;3;1;0;0;40,625;0;0
10;0,4;14;4;-1;-1;4;1;0;0;15,625;0;0;4;2;0;0;15,625;0;0;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0
10;0,5;14;4;-1;-1;4;1;0;0;21,875;0;0;4;2;0;0;12,5;0;0;4;1;0;0;6,25;0;0;4;1;0;0;21,875;0;0
10;0,1;15;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0;4;0;0;0;0;0;0;4;1;0;0;21,875;0;0
10;0,2;15;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;37,5;0;0;3;1;0;0;3,125;0;0;3;1;0;0;34,375;0;0
10;0,3;15;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;21,875;0;0;3;0;0;0;0;0;0;3;1;0;0;18,75;0;0
10;0,4;15;3;-1;-1;3;1;0;0;6,25;0;0;3;2;0;0;18,75;0;0;3;1;0;0;9,375;0;0;3;1;0;0;15,625;0;0
10;0,5;15;3;-1;-1;3;2;0;0;18,75;0;0;3;1;0;0;68,75;0;0;3;0;0;0;0;0;0;3;2;0;0;25;0;0
10;0,1;16;4;-1;-1;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;31,25;0;0
10;0,2;16;3;-1;-1;3;1;0;0;15,625;0;0;3;1;0;0;40,625;0;0;3;0;0;0;0;0;0;3;2;0;0;12,5;0;0
10;0,3;16;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0;3;0;0;0;0;0;0;3;1;0;0;28,125;0;0
10;0,4;16;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0;3;1;0;0;9,375;0;0;3;1;0;0;50;0;0
10;0,5;16;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;28,125;0;0;3;0;0;0;0;0;0;3;1;0;0;53,125;0;0
10;0,1;17;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,2;17;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;21,875;0;0;4;0;0;0;0;0;0;4;1;0;0;28,125;0;0
10;0,3;17;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;6,25;0;0;3;0;0;0;0;0;0;3;1;0;0;37,5;0;0
10;0,4;17;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;25;0;0;3;0;0;0;0;0;0;3;1;0;0;68,75;0;0
10;0,5;17;4;-1;-1;4;1;0;0;21,875;0;0;4;1;0;0;50;0;0;4;0;0;0;0;0;0;4;1;0;0;71,875;0;0
10;0,1;18;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;25;0;0;3;0;0;0;0;0;0;3;1;0;0;15,625;0;0
10;0,2;18;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0;3;2;0;0;6,25;0;0;3;1;0;0;43,75;0;0
10;0,3;18;3;-1;-1;3;1;0;0;3,125;0;0;3;1;0;0;31,25;0;0;3;0;0;0;0;0;0;3;1;0;0;53,125;0;0
10;0,4;18;4;-1;-1;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;28,125;0;0
10;0,5;18;3;-1;-1;3;1;0;0;18,75;0;0;3;1;0;0;56,25;0;0;3;1;0;0;15,625;0;0;3;1;0;0;75;0;0
10;0,1;19;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;71,875;0;0
10;0,2;19;4;-1;-1;4;1;0;0;46,875;0;0;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,3;19;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0;3;0;0;0;0;0;0;3;1;0;0;21,875;0;0
10;0,4;19;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;40,625;0;0;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0
10;0,5;19;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;6,25;0;0
10;0,1;20;3;-1;-1;3;1;0;0;3,125;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0
10;0,2;20;4;-1;-1;4;1;0;0;15,625;0;0;4;1;0;0;12,5;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,3;20;3;-1;-1;3;1;0;0;18,75;0;0;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,4;20;3;-1;-1;3;1;0;0;34,375;0;0;3;2;0;0;9,375;0;0;3;0;0;0;0;0;0;3;2;0;0;31,25;0;0
10;0,5;20;4;-1;-1;4;0;0;0;0;0;0;4;2;0;0;18,75;0;0;4;0;0;0;0;0;0;4;1;0;0;28,125;0;0
10;0,1;21;4;-1;-1;4;1;0;0;9,375;0;0;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0
10;0,2;21;3;-1;-1;3;1;0;0;31,25;0;0;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0
10;0,3;21;3;-1;-1;3;1;0;0;18,75;0;0;3;2;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0
10;0,4;21;3;-1;-1;3;1;0;0;15,625;0;0;3;1;0;0;28,125;0;0;3;1;0;0;6,25;0;0;3;1;0;0;68,75;0;0
10;0,5;21;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;18,75;0;0;3;1;0;0;9,375;0;0;3;2;0;0;21,875;0;0
10;0,1;22;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0
10;0,2;22;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0;3;1;0;0;9,375;0;0
10;0,3;22;4;-1;-1;4;1;0;0;9,375;0;0;4;1;0;0;3,125;0;0;4;1;0;0;9,375;0;0;4;2;0;0;6,25;0;0
10;0,4;22;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;34,375;0;0
10;0,5;22;4;-1;-1;4;1;0;0;28,125;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,1;23;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,2;23;3;-1;-1;3;1;0;0;43,75;0;0;3;1;0;0;6,25;0;0;3;1;0;0;15,625;0;0;3;1;0;0;56,25;0;0
10;0,3;23;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0
10;0,4;23;4;-1;-1;4;1;0;0;12,5;0;0;4;1;0;0;40,625;0;0;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0
10;0,5;23;3;-1;-1;3;2;0;0;12,5;0;0;3;1;0;0;40,625;0;0;3;1;0;0;12,5;0;0;3;1;0;0;62,5;0;0
10;0,1;24;4;-1;-1;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;40,625;0;0
10;0,2;24;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;25;0;0;3;0;0;0;0;0;0;3;1;0;0;21,875;0;0
10;0,3;24;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;18,75;0;0;3;1;0;0;3,125;0;0;3;1;0;0;18,75;0;0
10;0,4;24;4;-1;-1;4;2;0;0;43,75;0;0;4;1;0;0;71,875;0;0;4;0;0;0;0;0;0;4;1;0;0;75;0;0
10;0,5;24;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;21,875;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0
10;0,1;25;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;1;0;0;2,083333333;0
10;0,2;25;4;-1;-1;4;1;0;0;6,25;0;0;4;1;0;0;40,625;0;0;4;0;0;0;0;0;0;4;1;0;0;18,75;0;0
10;0,3;25;3;-1;-1;3;1;0;0;25;0;0;3;1;0;0;15,625;0;0;3;0;0;0;0;0;0;3;2;0;0;15,625;0;0
10;0,4;25;4;-1;-1;4;2;0;0;25;0;0;4;2;0;0;6,25;0;0;4;1;0;0;6,25;0;0;4;1;0;0;31,25;0;0
10;0,5;25;4;-1;-1;4;1;0;0;12,5;0;0;4;1;0;0;31,25;0;0;4;0;0;0;0;0;0;4;1;0;0;31,25;0;0
10;0,1;26;3;-1;-1;3;1;0;0;12,5;0;0;3;1;0;0;21,875;0;0;3;1;0;0;15,625;0;0;3;1;0;0;15,625;0;0
10;0,2;26;3;-1;-1;3;1;0;0;21,875;0;0;3;1;0;0;53,125;0;0;3;1;0;0;6,25;0;0;3;1;0;0;31,25;0;0
10;0,3;26;3;-1;-1;3;0;0;0;0;0;0;3;2;0;0;3,125;0;0;3;0;0;0;0;0;0;3;1;0;0;31,25;0;0
10;0,4;26;3;-1;-1;3;1;0;0;3,125;0;0;3;1;0;0;31,25;0;0;3;1;0;0;18,75;0;0;3;1;0;0;25;0;0
10;0,5;26;4;-1;-1;4;1;0;0;21,875;0;0;4;1;0;0;59,375;0;0;4;0;0;0;0;0;0;4;1;0;0;28,125;0;0
10;0,1;27;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;9,375;0;0;3;0;0;0;0;0;0;3;1;0;0;28,125;0;0
10;0,2;27;4;-1;-1;4;1;0;0;6,25;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;15,625;0;0
10;0,3;27;4;-1;-1;4;2;0;0;9,375;0;0;4;1;0;0;3,125;0;0;4;1;0;0;6,25;0;0;4;1;0;0;50;0;0
10;0,4;27;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;34,375;0;0
10;0,5;27;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,1;28;4;-1;-1;4;0;0;0;0;0;0;4;2;0;0;9,375;0;0;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0
10;0,2;28;3;-1;-1;3;1;0;0;15,625;0;0;3;1;0;0;37,5;0;0;3;1;0;0;3,125;0;0;3;1;1;0;71,875;8,333333333;0
10;0,3;28;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,4;28;4;-1;-1;4;1;0;0;12,5;0;0;4;1;0;0;21,875;0;0;4;0;0;0;0;0;0;4;1;0;0;53,125;0;0
10;0,5;28;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;34,375;0;0;4;0;0;0;0;0;0;4;1;0;0;21,875;0;0
10;0,1;29;4;-1;-1;4;1;0;0;15,625;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;53,125;0;0
10;0,2;29;3;-1;-1;3;2;0;0;28,125;0;0;3;1;0;0;28,125;0;0;3;1;0;0;15,625;0;0;3;1;0;0;34,375;0;0
10;0,3;29;3;-1;-1;3;1;0;0;53,125;0;0;3;1;0;0;21,875;0;0;3;1;0;0;18,75;0;0;3;1;0;0;40,625;0;0
10;0,4;29;3;-1;-1;3;1;0;0;6,25;0;0;3;1;1;0;115,625;11,45833333;0;3;0;0;0;0;0;0;3;1;0;0;18,75;0;0
10;0,5;29;3;-1;-1;3;1;0;0;21,875;0;0;3;1;1;0;15,625;2,083333333;0;3;1;0;0;3,125;0;0;3;1;0;0;25;0;0
10;0,1;30;3;-1;-1;3;1;0;0;31,25;0;0;3;1;0;0;46,875;0;0;3;1;0;0;3,125;0;0;3;2;0;0;18,75;0;0
10;0,2;30;3;-1;-1;3;1;0;0;18,75;0;0;3;1;0;0;12,5;0;0;3;0;0;0;0;0;0;3;1;0;0;81,25;0;0
10;0,3;30;3;-1;-1;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0;3;0;0;0;0;0;0;3;1;0;0;34,375;0;0
10;0,4;30;3;-1;-1;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3;1;0;0;3,125;0;0;3;1;0;0;9,375;0;0
10;0,5;30;3;-1;-1;3;1;0;0;31,25;0;0;3;1;0;0;12,5;0;0;3;0;0;0;0;0;0;3;1;0;0;56,25;0;0
10;0,1;31;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0;4;0;0;0;0;0;0;4;2;0;0;18,75;0;0
10;0,2;31;4;-1;-1;4;1;0;0;18,75;0;0;4;1;0;0;37,5;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0
10;0,3;31;3;-1;-1;3;1;0;0;18,75;0;0;3;1;0;0;65,625;0;0;3;0;0;0;0;0;0;3;1;0;0;50;0;0
10;0,4;31;3;-1;-1;3;1;0;0;37,5;0;0;3;2;0;0;46,875;0;0;3;1;0;0;9,375;0;0;3;1;0;0;12,5;0;0
10;0,5;31;3;-1;-1;3;1;0;0;15,625;0;0;3;1;0;0;25;0;0;3;0;0;0;0;0;0;3;1;0;0;46,875;0;0
10;0,1;32;3;-1;-1;3;1;0;0;34,375;0;0;3;1;0;0;18,75;0;0;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0
10;0,2;32;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,3;32;3;-1;-1;3;1;0;0;6,25;0;0;3;1;0;0;53,125;0;0;3;1;0;0;6,25;0;0;3;1;0;0;31,25;0;0
10;0,4;32;3;-1;-1;3;1;0;0;28,125;0;0;3;0;0;0;0;0;0;3;1;0;0;12,5;0;0;3;1;0;0;12,5;0;0
10;0,5;32;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;9,375;0;0;4;0;0;0;0;0;0;4;1;0;0;12,5;0;0
10;0,1;33;3;-1;-1;3;1;0;0;9,375;0;0;3;1;0;0;40,625;0;0;3;2;0;0;6,25;0;0;3;1;0;0;28,125;0;0
10;0,2;33;2;-1;-1;2;1;0;0;9,375;0;0;2;1;0;0;3,125;0;0;2;1;0;0;28,125;0;0;2;1;1;0;46,875;6,25;0
10;0,3;33;4;-1;-1;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;4;1;0;0;18,75;0;0
10;0,4;33;4;-1;-1;4;0;0;0;0;0;0;4;1;0;0;3,125;0;0;4;0;0;0;0;0;0;4;1;0;0;31,25;0;0
10;0,5;33;4;-1;-1;4;1;0;0;34,375;0;0;4;1;0;0;15,625;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0
